               mode  accuracy  precision  recall  f1_mean  f1_std
              mul*w     0.980      0.548   0.495    0.517   0.056
          mul+mul*w     0.980      0.548   0.495    0.517   0.056
          mul+sub*w     0.979      0.530   0.508    0.517   0.045
      mul+sub+sub*w     0.979      0.530   0.508    0.517   0.045
                mul     0.979      0.539   0.497    0.516   0.075
            mul+sub     0.979      0.532   0.498    0.512   0.050
    mul+mul*w+sub*w     0.978      0.516   0.498    0.504   0.044
        mul*w+sub*w     0.978      0.516   0.498    0.504   0.044
      mul+sub+mul*w     0.979      0.525   0.490    0.504   0.052
mul+sub+mul*w+sub*w     0.978      0.516   0.498    0.504   0.044
    sub+mul*w+sub*w     0.978      0.516   0.498    0.504   0.044
          sub+mul*w     0.979      0.525   0.490    0.504   0.052
                sub     0.978      0.506   0.495    0.498   0.034
              sub*w     0.977      0.480   0.490    0.483   0.046
          sub+sub*w     0.977      0.480   0.490    0.483   0.046
           original     0.976      0.470   0.490    0.479   0.074
